category,amount,date,description
Food & Drinks - Bars & Pubs,-135.77,3/06/2015,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Holiday & Travel - Other Travel,-150.67,7/02/2014,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim bla"
Home - Services & Trades,-108.36,16/08/2016,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Food & Drinks - Takeaways,-46.74,21/06/2014,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at,"
Holiday & Travel - Flights,-116.46,25/04/2016,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
Groceries - Supermarkets,-99.71,23/03/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Holiday & Travel - Other Travel,-18.58,5/07/2017,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Home - Services & Trades,-7.49,22/07/2015,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Health & Beauty - Doctors & Dentist,-15.19,29/01/2014,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Miscellaneous - Other,-3.96,2/02/2017,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Work & Study - Books & Stationery,-172.55,31/01/2017,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Banking & Finance - ATM Withdrawals,-18.54,16/10/2017,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
Shopping - Clothing & Fashion,-102.92,29/10/2016,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
Shopping - Sports & Outdoor,-31.07,13/07/2017,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis"
Work & Study - Other Work & Study,-45.99,13/04/2016,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem "
Holiday & Travel - Flights,-166.76,22/07/2016,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Holiday & Travel - Flights,-130.47,3/10/2014,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Holiday & Travel - Flights,-14.82,24/11/2015,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Shopping - Electronics & Appliances,-51.79,30/11/2016,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Banking & Finance - ATM Withdrawals,-25.13,22/02/2017,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Household Utilities - Phone & Internet,-4.31,31/10/2016,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
Shopping - Sports & Outdoor,-24.72,30/01/2014,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Miscellaneous - Other,-323.98,28/07/2015,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Transport - Vehicle Maintenance,-58.13,6/03/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Groceries - Liquor Stores,-22.88,30/11/2017,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin v"
Health & Beauty - Eyewear,-56.52,23/11/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharet
Work & Study - Course Fees,-289.86,12/02/2017,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
Food & Drinks - Restaurants,-6.75,22/01/2014,Ut tellus.
Shopping - Clothing & Fashion,-78.02,13/08/2016,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Shopping - Sports & Outdoor,-28.39,23/02/2017,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacin
Household Utilities - Water,-5.49,24/02/2015,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Health & Beauty - Gyms & Fitness,-196.24,1/12/2014,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Work & Study - News & Subscriptions,-146.07,28/09/2016,In sagittis dui vel nisl. Duis ac nibh.
Food & Drinks - Takeaways,-0.59,22/09/2016,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante "
Household Utilities - Water,-290.67,5/07/2015,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Transport - Vehicle Maintenance,-8.83,21/09/2017,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Health & Beauty - Doctors & Dentist,-4.99,10/06/2016,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Holiday & Travel - Flights,-100.33,26/05/2016,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, j"
Work & Study - News & Subscriptions,-176.31,3/02/2014,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tinci
Home - Rent,-187.71,1/09/2016,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis i"
Shopping - Homewares,-75.39,8/10/2016,Nulla ut erat id mauris vulputate elementum.
Food & Drinks - Bars & Pubs,-33.00,12/09/2015,Curabitur convallis.
Entertainment - Media Subscriptions,-54.07,20/05/2014,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, cond"
Health & Beauty - Doctors & Dentist,-123.53,9/09/2017,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Insurance - Car Insurance,-353.59,30/10/2014,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at "
Work & Study - Books & Stationery,-5.15,1/07/2017,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulput"
Work & Study - Books & Stationery,-463.76,24/12/2015,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Groceries - Liquor Stores,-11.37,21/10/2015,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Entertainment - Media Subscriptions,-303.49,21/05/2016,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
Groceries - Liquor Stores,-132.09,30/03/2016,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Holiday & Travel - Hotels & Accomodation,-5.74,30/01/2018,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero qu"
Entertainment - Media Subscriptions,-62.05,3/03/2017,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id n
Food & Drinks - Takeaways,-71.79,15/12/2014,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Holiday & Travel - Other Travel,-136.60,27/09/2014,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Shopping - Sports & Outdoor,-147.68,9/05/2016,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, cond"
Entertainment - Media Subscriptions,-31.74,17/08/2014,Aliquam erat volutpat. In congue. Etiam justo.
Transport - Fuel,-124.72,30/10/2017,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
Work & Study - Course Fees,-82.25,5/05/2017,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nul"
Entertainment - Media Subscriptions,-1.68,10/11/2015,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Household Utilities - Water,-304.17,24/10/2015,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Household Utilities - Other Household Utilities,-120.75,21/12/2016,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
Groceries - Liquor Stores,-78.00,4/07/2014,Maecenas ut massa quis augue luctus tincidunt.
Food & Drinks - Other Food & Drinks,-108.04,29/10/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augu"
Holiday & Travel - Other Travel,-75.10,3/11/2014,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Food & Drinks - Cafes & Coffee,-9.48,13/11/2015,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Shopping - Electronics & Appliances,-36.17,25/03/2017,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Shopping - Other Shopping,-5.53,14/08/2017,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Banking & Finance - ATM Withdrawals,-252.95,4/04/2017,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id "
Home - Rent,-416.49,14/10/2017,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Work & Study - Other Work & Study,-181.70,24/11/2015,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Holiday & Travel - Vehicle Rentals,-68.70,13/01/2018,Phasellus in felis.
Shopping - Clothing & Fashion,-110.87,30/09/2014,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Shopping - Sports & Outdoor,-445.47,9/10/2015,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Holiday & Travel - Flights,-81.47,1/05/2016,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Health & Beauty - Gyms & Fitness,-58.61,13/06/2017,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Transport - Fuel,-39.45,1/06/2015,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue
Household Utilities - Phone & Internet,-121.80,23/09/2017,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Insurance - Car Insurance,-0.26,20/07/2016,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Home - Rent,-237.64,9/11/2014,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
Banking & Finance - ATM Withdrawals,-18.02,29/08/2016,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
Health & Beauty - Gyms & Fitness,-239.92,20/02/2015,Maecenas rhoncus aliquam lacus.
Health & Beauty - Gyms & Fitness,-22.09,17/12/2014,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
Household Utilities - Electricity & Gas,-55.55,8/01/2015,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Work & Study - News & Subscriptions,-60.65,11/02/2017,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Holiday & Travel - Other Travel,-68.16,9/10/2016,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Insurance - Car Insurance,-6.72,21/06/2015,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Health & Beauty - Eyewear,-113.97,3/02/2014,Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient monte
Household Utilities - Electricity & Gas,-75.67,8/09/2014,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis"
Household Utilities - Other Household Utilities,-223.38,2/09/2014,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis nato
Entertainment - Media Subscriptions,-409.39,25/03/2015,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Miscellaneous - Other,-97.22,18/08/2014,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Transport - Vehicle Maintenance,-566.50,5/09/2016,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Holiday & Travel - Flights,-41.19,15/06/2015,Nullam sit amet turpis elementum ligula vehicula consequat.
Shopping - Sports & Outdoor,-67.59,9/11/2014,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Household Utilities - Phone & Internet,-74.97,3/03/2017,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Household Utilities - Phone & Internet,-4.10,18/02/2014,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Work & Study - Books & Stationery,-90.13,15/12/2016,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Shopping - Homewares,-61.31,12/02/2017,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulput"
Household Utilities - Other Household Utilities,-197.79,13/01/2016,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Household Utilities - Other Household Utilities,-90.93,2/10/2017,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor
Food & Drinks - Takeaways,-17.32,3/01/2015,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Shopping - Homewares,-1.51,16/02/2017,Pellentesque viverra pede ac diam.
Household Utilities - Other Household Utilities,-291.79,6/12/2017,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.
Shopping - Clothing & Fashion,-41.74,5/05/2015,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Food & Drinks - Other Food & Drinks,-276.81,10/11/2017,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Work & Study - Other Work & Study,-183.43,9/12/2017,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Food & Drinks - Restaurants,-102.35,24/09/2017,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
Household Utilities - Water,-106.89,28/02/2017,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Insurance - Car Insurance,-471.54,12/02/2017,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Work & Study - Books & Stationery,-82.10,22/12/2014,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Groceries - Liquor Stores,-443.75,8/10/2016,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Work & Study - Books & Stationery,-53.05,16/10/2017,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis i"
Household Utilities - Phone & Internet,-133.98,12/04/2015,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Work & Study - Books & Stationery,-128.37,15/04/2014,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Work & Study - Course Fees,-22.19,11/08/2014,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Holiday & Travel - Flights,-78.14,5/10/2017,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
Health & Beauty - Doctors & Dentist,-163.45,22/05/2014,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget
Work & Study - Books & Stationery,-10.58,5/04/2014,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Holiday & Travel - Other Travel,-62.75,5/04/2017,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Holiday & Travel - Other Travel,-255.07,26/09/2016,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna v
Entertainment - Media Subscriptions,-170.61,17/01/2014,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. F"
Transport - Taxi & Rideshare,-71.05,8/12/2015,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, laci"
Shopping - Sports & Outdoor,-55.77,9/11/2017,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Work & Study - Other Work & Study,-99.72,4/10/2014,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
Home - Rent,-42.97,31/10/2016,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor
Home - Services & Trades,-399.08,13/12/2014,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cu
Household Utilities - Phone & Internet,-3.08,12/06/2014,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Work & Study - Other Work & Study,-50.37,21/06/2015,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
Home - Rent,-159.04,16/11/2014,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tin"
Household Utilities - Phone & Internet,-213.27,24/08/2015,In quis justo. Maecenas rhoncus aliquam lacus.
Food & Drinks - Other Food & Drinks,-9.95,7/02/2015,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Groceries - Liquor Stores,-149.95,26/03/2015,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis nato
Transport - Public Transport,-333.81,15/07/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Shopping - Clothing & Fashion,-54.81,3/11/2016,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Food & Drinks - Bars & Pubs,-47.78,19/07/2017,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cu
Insurance - Car Insurance,-25.59,11/03/2014,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Food & Drinks - Other Food & Drinks,-251.98,18/09/2016,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Transport - Fuel,-104.52,24/02/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Banking & Finance - ATM Withdrawals,-165.54,1/10/2016,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id "
Transport - Vehicle Maintenance,-2.91,3/02/2016,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices a
Household Utilities - Electricity & Gas,-39.19,26/06/2015,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Holiday & Travel - Other Travel,-18.89,5/07/2017,Duis bibendum.
Health & Beauty - Doctors & Dentist,-23.44,25/04/2016,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Home - Services & Trades,-272.62,1/02/2014,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
Household Utilities - Other Household Utilities,-103.67,17/06/2014,Mauris sit amet eros.
Transport - Fuel,-40.76,13/04/2017,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Food & Drinks - Takeaways,-401.43,14/04/2014,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Holiday & Travel - Flights,-69.94,21/04/2016,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Food & Drinks - Takeaways,-16.35,13/02/2015,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Food & Drinks - Restaurants,-290.03,15/05/2015,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Shopping - Electronics & Appliances,-114.92,27/10/2017,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper pur
Household Utilities - Electricity & Gas,-38.38,20/09/2016,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Holiday & Travel - Other Travel,-301.14,15/04/2016,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Home - Services & Trades,-18.21,27/01/2017,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
Shopping - Homewares,-84.76,26/08/2014,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis
Holiday & Travel - Other Travel,-44.89,12/05/2014,In congue.
Holiday & Travel - Flights,-110.32,28/09/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Transport - Public Transport,-10.56,7/06/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum q"
Transport - Fuel,-24.69,18/10/2017,Suspendisse potenti.
Banking & Finance - ATM Withdrawals,-18.89,27/09/2016,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Food & Drinks - Takeaways,-27.11,12/07/2014,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Health & Beauty - Gyms & Fitness,-51.71,26/10/2014,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Shopping - Homewares,-102.08,16/10/2014,Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient monte
Transport - Vehicle Maintenance,-77.60,30/01/2018,Etiam justo.
Shopping - Clothing & Fashion,-225.17,12/04/2016,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices ma
Transport - Taxi & Rideshare,-77.80,13/03/2016,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien "
Work & Study - Other Work & Study,-100.73,12/02/2015,Sed sagittis.
Transport - Taxi & Rideshare,-18.27,7/02/2016,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
Transport - Fuel,-46.73,14/09/2016,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Holiday & Travel - Vehicle Rentals,-128.42,23/12/2017,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Household Utilities - Water,-178.80,10/04/2014,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Food & Drinks - Bars & Pubs,-68.89,11/12/2014,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Banking & Finance - Loan Repayments,-45.61,27/08/2015,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa te
Food & Drinks - Other Food & Drinks,-161.84,25/04/2015,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Home - Rent,-87.77,19/02/2015,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis"
Holiday & Travel - Other Travel,-27.29,26/05/2014,Donec vitae nisi.
Work & Study - News & Subscriptions,-68.51,28/06/2014,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Transport - Vehicle Maintenance,-119.67,13/10/2014,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien "
Food & Drinks - Bars & Pubs,-38.77,23/09/2017,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Household Utilities - Other Household Utilities,-4.90,24/08/2017,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Shopping - Homewares,-4.52,27/12/2017,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
Groceries - Supermarkets,-547.19,4/02/2014,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Shopping - Homewares,-22.94,27/03/2015,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Transport - Fuel,-103.18,2/08/2014,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vul
Holiday & Travel - Other Travel,-118.42,4/05/2016,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci
Miscellaneous - Other,-108.68,22/02/2016,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Work & Study - Books & Stationery,-68.58,10/01/2018,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Shopping - Homewares,-73.14,11/01/2015,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Banking & Finance - Loan Repayments,-14.81,11/04/2015,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non veli
Health & Beauty - Eyewear,-44.95,12/04/2017,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nun"
Transport - Public Transport,-51.23,3/08/2017,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Shopping - Sports & Outdoor,-16.64,1/12/2015,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Health & Beauty - Doctors & Dentist,-8.72,5/10/2015,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
Shopping - Homewares,-189.98,25/03/2017,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Entertainment - Events,-70.33,21/02/2015,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Transport - Vehicle Maintenance,-192.67,30/10/2014,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis
